I0710 09:16:44.468410       1 blobfuse.go:73] 
DRIVER INFORMATION:
-------------------
Build Date: "2019-07-09T06:23:48Z"
Compiler: gc
Driver Name: blobfuse.csi.azure.com
Driver Version: v0.2.0
Git Commit: 6cf17ce8561c7d4f4a634ac6336db3e18cd766bb
Go Version: go1.12.1
Platform: linux/amd64

Streaming logs below:
I0710 09:16:44.468492       1 azure.go:31] AZURE_CREDENTIAL_FILE env var set as /etc/kubernetes/azure.json
I0710 09:16:44.468983       1 azure_auth.go:86] azure: using client_id+client_secret to retrieve access token
I0710 09:16:44.469004       1 azure.go:338] Azure cloudprovider (read ops) using rate limit config: QPS=3, bucket=10
I0710 09:16:44.469012       1 azure.go:342] Azure cloudprovider (write ops) using rate limit config: QPS=1, bucket=5
I0710 09:16:44.469018       1 azure.go:378] Azure cloudprovider using try backoff: retries=6, exponent=1.500000, duration=5, jitter=1.000000
I0710 09:16:44.475915       1 mount_linux.go:170] Cannot run systemd-run, assuming non-systemd OS
I0710 09:16:44.475923       1 mount_linux.go:171] systemd-run failed with: exit status 1
I0710 09:16:44.475931       1 mount_linux.go:172] systemd-run output: Failed to create bus connection: No such file or directory
I0710 09:16:44.475940       1 driver.go:80] Enabling controller service capability: CREATE_DELETE_VOLUME
I0710 09:16:44.475945       1 driver.go:99] Enabling volume access mode: SINGLE_NODE_WRITER
I0710 09:16:44.475948       1 driver.go:99] Enabling volume access mode: SINGLE_NODE_READER_ONLY
I0710 09:16:44.475951       1 driver.go:99] Enabling volume access mode: MULTI_NODE_READER_ONLY
I0710 09:16:44.475954       1 driver.go:99] Enabling volume access mode: MULTI_NODE_SINGLE_WRITER
I0710 09:16:44.475956       1 driver.go:99] Enabling volume access mode: MULTI_NODE_MULTI_WRITER
I0710 09:16:44.475960       1 driver.go:90] Enabling node service capability: UNKNOWN
I0710 09:16:44.476153       1 server.go:104] Listening for connections on address: &net.UnixAddr{Name:"//csi/csi.sock", Net:"unix"}
I0710 09:16:44.570579       1 utils.go:112] GRPC call: /csi.v1.Identity/GetPluginInfo
I0710 09:16:44.570604       1 utils.go:113] GRPC request: 
I0710 09:16:44.570612       1 identityserver.go:32] Using default GetPluginInfo
I0710 09:16:44.570617       1 utils.go:119] GRPC response: name:"blobfuse.csi.azure.com" vendor_version:"v0.2.0" 
I0710 09:16:45.468635       1 utils.go:112] GRPC call: /csi.v1.Identity/Probe
I0710 09:16:45.468649       1 utils.go:113] GRPC request: 
I0710 09:16:45.468678       1 utils.go:119] GRPC response: ready:<value:true > 
I0710 09:16:45.472054       1 utils.go:112] GRPC call: /csi.v1.Identity/GetPluginInfo
I0710 09:16:45.472070       1 utils.go:113] GRPC request: 
I0710 09:16:45.472075       1 identityserver.go:32] Using default GetPluginInfo
I0710 09:16:45.472080       1 utils.go:119] GRPC response: name:"blobfuse.csi.azure.com" vendor_version:"v0.2.0" 
